,ticker,strategy,ep_count,year,investment,returns,required capital,profit,profit percentage
0,ADANIPORTS,t-dqn,10,2018,55072.06231700005,31640.971280000005,24595.156895,2227.4901289999543,9.056620937648036
0,ADANIPORTS,t-dqn,10,2019,56977.116314,30366.56121699999,28465.801555999988,-550.1651770000026,-1.9327232922553677
0,ADANIPORTS,t-dqn,20,2018,46974.40771600001,34487.74691299999,14272.91947,1300.0395249999783,9.108434526885047
0,ADANIPORTS,t-dqn,20,2019,50135.528419,30931.590365000004,19580.674474999996,341.35438599999907,1.7433229199322517
0,ADANIPORTS,t-dqn,30,2018,7676.206176000001,7737.751187000001,910.0504160000003,61.54501100000016,6.762813347255274
0,ADANIPORTS,t-dqn,30,2019,4909.121856,5041.84976,1166.2407239999998,132.7279040000003,11.3808325561439
0,ADANIPORTS,t-dqn,40,2018,23331.569219,21517.59539799999,4042.558261000001,100.84566899999118,2.494600262731777
0,ADANIPORTS,t-dqn,40,2019,23967.617188999997,22790.928589999996,1691.1035740000007,271.1108409999979,16.03159292950544
0,ADANIPORTS,t-dqn,50,2018,46288.365782,28889.39260899998,18123.629087999998,1749.2217269999746,9.651608507912842
0,ADANIPORTS,t-dqn,50,2019,47991.87635000001,28998.778383,18993.09796700001,-171.7052470000126,-0.9040402323957145
0,ASIANPAINT,t-dqn,10,2018,55102.92126999999,55774.050906,6976.783204999997,671.1296360000051,9.619470983691048
0,ASIANPAINT,t-dqn,10,2019,60607.05603299998,61437.164795,6923.646484,830.108762000018,11.98947352263484
0,ASIANPAINT,t-dqn,20,2018,80520.431886,75034.38244500001,16365.741701000006,2611.182003000009,15.95517056731047
0,ASIANPAINT,t-dqn,20,2019,86620.939207,89417.51367100001,23155.393066999997,2796.574464000005,12.077421687069325
0,ASIANPAINT,t-dqn,30,2018,121752.72522300003,97574.70556599999,37478.63245099999,2812.751822999955,7.5049478570953205
0,ASIANPAINT,t-dqn,30,2019,97585.102903,98124.53137299999,14236.542231999998,2332.928591999982,16.386904586678167
0,ASIANPAINT,t-dqn,40,2018,106387.69628800004,95568.44201599999,18516.367676000005,2676.1314679999487,14.452788553494846
0,ASIANPAINT,t-dqn,40,2019,88884.20983900002,91647.092652,19546.121336,2762.8828129999893,14.135197288023166
0,ASIANPAINT,t-dqn,50,2018,27135.171995999997,27223.871582,3728.5848379999998,88.69958600000245,2.3789075441174785
0,ASIANPAINT,t-dqn,50,2019,22082.925048999998,22182.794188,5383.401856,99.86913900000218,1.855130671485992
0,AXISBANK,t-dqn,10,2018,74281.79879400006,30488.386288,44426.92575099997,4900.015575999947,11.029382504346827
0,AXISBANK,t-dqn,10,2019,90677.315854,48311.735781999996,42365.58007200001,3634.5184639999934,8.578941815084686
0,AXISBANK,t-dqn,20,2018,65091.612117000004,38912.57412500001,26216.741177999982,3786.148519999995,14.441720632986895
0,AXISBANK,t-dqn,20,2019,70341.995178,50491.380799999984,24242.614317999996,1264.1849499999807,5.214722032109099
0,AXISBANK,t-dqn,30,2018,53070.24132899999,50031.66540000002,8351.977266,707.0723850000286,8.465928036926588
0,AXISBANK,t-dqn,30,2019,70064.76519300003,51201.263917,28490.10107199999,1497.1980759999715,5.255151858592087
0,AXISBANK,t-dqn,40,2018,36627.21218699999,35821.86257600001,4731.224182999999,443.19982700001856,9.367550761862061
0,AXISBANK,t-dqn,40,2019,35966.144044999994,36348.249084999996,3466.644775,382.1050400000022,11.022330374187305
0,AXISBANK,t-dqn,50,2018,77384.79509800003,48132.623775,31138.328976999994,4458.66350299996,14.318891377547285
0,AXISBANK,t-dqn,50,2019,93785.84130800002,64865.62927399999,31779.311949999992,1997.8869819999818,6.28675342355857
0,BAJAJ-AUTO,t-dqn,10,2018,246095.3693819999,247908.18042400005,44871.21996499998,1812.8110420001613,4.040030655315752
0,BAJAJ-AUTO,t-dqn,10,2019,211946.210447,206383.98559399997,37667.62377699999,3774.3493649999727,10.02014193235254
0,BAJAJ-AUTO,t-dqn,20,2018,312510.99585,303238.37915700016,76334.465821,902.4585030001472,1.182242507750511
0,BAJAJ-AUTO,t-dqn,20,2019,285921.856936,262860.33715900005,31715.436522000015,4948.2028770000325,15.601875363019573
0,BAJAJ-AUTO,t-dqn,30,2018,162083.23095699993,161368.91577400008,27259.946045000004,-714.3151829998533,-2.6203837007625785
0,BAJAJ-AUTO,t-dqn,30,2019,136840.239506,137909.58764399998,20714.795413,1069.348137999972,5.162243298472938
0,BAJAJ-AUTO,t-dqn,40,2018,161957.17529499994,166269.79687400002,35575.751711000004,4312.621579000086,12.122362484519549
0,BAJAJ-AUTO,t-dqn,40,2019,140322.64624300002,132221.989988,17419.223389000002,1235.9179629999562,7.095138143646642
0,BAJAJ-AUTO,t-dqn,50,2018,30962.673338999994,31129.20166,4860.258056000001,166.52832100000523,3.4263267316521517
0,BAJAJ-AUTO,t-dqn,50,2019,44041.762696,44422.82788,5844.274660000002,381.06518399999914,6.520316141336161
0,BAJAJFINSV,t-dqn,10,2018,421354.418949,386687.6279309999,100550.93994299998,10813.124994999904,10.753877587946583
0,BAJAJFINSV,t-dqn,10,2019,548643.8056669999,553426.7319389998,64434.681638999995,14216.832521999953,22.063944696197606
0,BAJAJFINSV,t-dqn,20,2018,544114.85498,469395.4340859999,189805.931639,9743.280273000011,5.133285450494336
0,BAJAJFINSV,t-dqn,20,2019,542901.5966819999,532562.03223,57453.878905000005,8528.248048000154,14.843641909890215
0,BAJAJFINSV,t-dqn,30,2018,368169.61865300016,361374.17187599983,93896.25683599999,-6795.446777000325,-7.237186024219593
0,BAJAJFINSV,t-dqn,30,2019,315241.6025419999,319489.944338,30306.042970999995,4248.341796000081,14.018134271324504
0,BAJAJFINSV,t-dqn,40,2018,506042.342772,506004.72412700014,102340.33153900002,-37.618644999864046,-0.03675837710719969
0,BAJAJFINSV,t-dqn,40,2019,504259.8315410001,508526.684087,41936.06933099999,4266.852545999864,10.17466017695111
0,BAJAJFINSV,t-dqn,50,2018,379065.51123099995,387540.80517700006,51234.338378,8475.293946000107,16.542214097643924
0,BAJAJFINSV,t-dqn,50,2019,443752.039062,450348.104495,48808.163084,6596.065432999982,13.514266909918321
0,BPCL,t-dqn,10,2018,33059.613294,27431.004653000015,10305.266597999997,-883.0198059999893,-8.568626513469939
0,BPCL,t-dqn,10,2019,32867.940666,26562.354737,6305.585928999998,2576.0617120000024,40.853645339324395
0,BPCL,t-dqn,20,2018,5985.813310000001,6019.836365,1549.676485,34.02305499999875,2.1954940485528986
0,BPCL,t-dqn,20,2019,6751.977904,6727.539398,670.7021790000001,-24.438506000000416,-3.6437194876029184
0,BPCL,t-dqn,30,2018,6165.2918850000015,6148.247757000002,1221.181488,-17.044127999999546,-1.3957080227209886
0,BPCL,t-dqn,30,2019,5789.339019000001,5817.81247,1264.2001340000002,28.47345099999893,2.2522898261296125
0,BPCL,t-dqn,40,2018,28904.42327900001,27510.621275,9878.469453000002,-1393.8020040000083,-14.109493486126269
0,BPCL,t-dqn,40,2019,32626.466672000002,30581.249050999995,3496.219881,1226.968351999989,35.094141494586076
0,BPCL,t-dqn,50,2018,40856.18818600001,35472.403715,14822.904265999998,-1903.685992000006,-12.842867752755993
0,BPCL,t-dqn,50,2019,45516.74026199999,32717.009853000003,13267.185548000003,2626.2891780000064,19.79537535295806
0,BHARTIARTL,t-dqn,10,2018,21237.624025,20383.575589,3433.1527430000006,-274.8304180000014,-8.005190522337365
0,BHARTIARTL,t-dqn,10,2019,19054.215851000008,19507.131315999995,1496.993319,452.9154649999873,30.255009107357765
0,BHARTIARTL,t-dqn,20,2018,26517.953273000003,26208.29229800001,4161.715327,-309.6609749999916,-7.4407053502915295
0,BHARTIARTL,t-dqn,20,2019,22734.87454499999,23369.327207000006,2368.8623709999997,634.4526620000142,26.7830106876232
0,BHARTIARTL,t-dqn,30,2018,21181.191737000005,20842.361295,4548.345641,-338.83044200000586,-7.449531516375932
0,BHARTIARTL,t-dqn,30,2019,8544.629518,8702.901032,1809.0638440000002,158.27151400000002,8.748807540702803
0,BHARTIARTL,t-dqn,40,2018,7957.654509000002,7958.2021159999995,1940.3014220000005,0.5476069999976971,0.028222779913918805
0,BHARTIARTL,t-dqn,40,2019,6390.3285240000005,6468.776763,625.573642,78.44823899999938,12.540208495549015
0,BHARTIARTL,t-dqn,50,2018,35047.07964700001,32202.833371000015,9127.236416999995,-1106.5922219999993,-12.12406660069535
0,BHARTIARTL,t-dqn,50,2019,24025.938478,22622.091703999995,2508.042664,431.5622819999953,17.207134798564784
0,INFRATEL,t-dqn,10,2018,33306.487273,12784.825866999998,21005.590086000004,-1543.5821770000039,-7.348435205487442
0,INFRATEL,t-dqn,10,2019,25495.673862000007,16377.555508,10468.651907000005,-12.642278000006627,-0.12076319006798952
0,INFRATEL,t-dqn,20,2018,8516.325024000002,8135.937822,1560.5968739999998,-140.15835100000186,-8.98107341717012
0,INFRATEL,t-dqn,20,2019,7679.304307,7168.4893040000015,1566.3743140000001,-18.627106999998432,-1.189186188353088
0,INFRATEL,t-dqn,30,2018,29593.674622000006,15169.344706999997,15864.606831,-971.5142590000105,-6.123784026602143
0,INFRATEL,t-dqn,30,2019,26032.487045,16576.737728999997,9702.710818000003,-350.27324000000226,-3.6100554429612823
0,INFRATEL,t-dqn,40,2018,19632.701524,14686.887035999996,6521.357745,-381.46631900000284,-5.849492297711737
0,INFRATEL,t-dqn,40,2019,15791.335829000001,14271.908263,3292.811966,203.2300699999978,6.17193062034681
0,INFRATEL,t-dqn,50,2018,32810.367754,21256.878016000006,12993.766654000006,-502.9625919999926,-3.870799017659443
0,INFRATEL,t-dqn,50,2019,32708.57516499999,19975.007416000004,13603.631805000003,-182.77640099998462,-1.343585327947536
0,BRITANNIA,t-dqn,10,2018,86432.53808500001,87186.55859499997,24056.708736999997,754.0205099999584,3.1343460913264933
0,BRITANNIA,t-dqn,10,2019,170543.477296,154516.51245199997,42739.423341,1671.6040059999796,3.91115245674456
0,BRITANNIA,t-dqn,20,2018,252296.91576900004,234244.03515399995,35353.88916,-160.8601070001023,-0.4549997491707424
0,BRITANNIA,t-dqn,20,2019,385840.55786099995,213615.6884780001,175323.0705550001,7710.5805920001585,4.397926962830197
0,BRITANNIA,t-dqn,30,2018,26755.849609000004,27039.950927000005,5251.635987,284.1013180000009,5.409767902864378
0,BRITANNIA,t-dqn,30,2019,30478.272704000003,30384.8125,5513.554199,-93.4602040000027,-1.69509903461099
0,BRITANNIA,t-dqn,40,2018,29717.244384000005,29918.0647,5935.413572,200.8203159999939,3.3834258314762287
0,BRITANNIA,t-dqn,40,2019,65450.224854,64863.346924,6202.345703999999,-586.8779300000024,-9.46219314446653
0,BRITANNIA,t-dqn,50,2018,200396.10839500005,198793.33520500004,33433.196287,1379.2302280000004,4.125331649897601
0,BRITANNIA,t-dqn,50,2019,320556.5175770002,189829.48217600005,145590.9836439999,10861.51539899985,7.4602939874068745
0,CIPLA,t-dqn,10,2018,72958.03249800002,37492.353726999994,35465.678771000006,-2854.1079050000117,-8.047520881889318
0,CIPLA,t-dqn,10,2019,60600.301334,42831.154331,22563.793458999993,-535.7081430000108,-2.3741936123171414
0,CIPLA,t-dqn,20,2018,82107.51436699997,30393.29354899999,51714.220818000016,-5126.262437999976,-9.912674612348974
0,CIPLA,t-dqn,20,2019,71619.62091299998,28588.539858000015,45871.204193999976,-1862.3104449999664,-4.0598682282763345
0,CIPLA,t-dqn,30,2018,94247.70833899996,34029.230318,60218.478021,-6383.503892999957,-10.600573283791457
0,CIPLA,t-dqn,30,2019,68819.70511099996,41805.08276800001,30003.259826999998,-1164.4640529999597,-3.8811251167849967
0,CIPLA,t-dqn,40,2018,35332.824949,31653.23806799999,6949.551209000001,-56.07900700000755,-0.8069442948687472
0,CIPLA,t-dqn,40,2019,33266.487703,32563.432254000007,6033.4105210000025,-703.0554489999922,-11.652703666573395
0,CIPLA,t-dqn,50,2018,68113.939147,41439.179596999995,26674.759550000006,-2863.1363779999956,-10.73350398016988
0,CIPLA,t-dqn,50,2019,53100.68222499999,34126.49258600001,23596.334080999994,-1262.044143999985,-5.348475486351906
0,COALINDIA,t-dqn,10,2018,23539.87358500001,14811.383710999995,9832.379901999999,-708.0561880000132,-7.201269632146618
0,COALINDIA,t-dqn,10,2019,16042.771365,13230.619427999996,4357.522406000001,-169.31399100000453,-3.8855564062475296
0,COALINDIA,t-dqn,20,2018,26396.537372000024,18204.008576000004,9481.930725999997,-605.6320660000201,-6.387223061431385
0,COALINDIA,t-dqn,20,2019,20610.59816300001,17206.596453,3949.135194999999,-6.067208000011306,-0.1536338388134445
0,COALINDIA,t-dqn,30,2018,24668.624131000008,20447.066958000003,7001.743650999999,-319.72456900000543,-4.566356395443611
0,COALINDIA,t-dqn,30,2019,18499.486953,14189.404206000001,6047.712952000002,-345.8258279999973,-5.718291042329173
0,COALINDIA,t-dqn,40,2018,25633.023883000005,18802.386733000007,10216.093922,-544.351287999998,-5.328370041976186
0,COALINDIA,t-dqn,40,2019,19522.052077999997,15062.282779000001,5841.085996999999,-306.73824099999547,-5.251390600267437
0,COALINDIA,t-dqn,50,2018,29246.507249000006,15246.608703999998,14648.473708999994,-1210.5583430000079,-8.264057860555418
0,COALINDIA,t-dqn,50,2019,21641.715214000007,18900.218995000007,4070.1616410000015,-287.43241200000193,-7.061940958427941
